Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
45.87	3.808
45.87	3.81
45.87	3.81
45.87	3.808
45.87	3.808
45.87	3.808
45.87	3.808
45.86	3.808
45.87	3.808
45.87	3.808
45.86	3.808
45.86	3.808
45.86	3.808
45.87	3.808
45.87	3.808
45.87	3.808
45.87	3.81
45.86	3.81
45.86	3.81
45.86	3.808
45.86	3.808
45.86	3.808
45.86	3.807
45.86	3.808
45.86	3.808
45.86	3.808
45.86	3.808
45.86	3.81
45.85	3.808
45.85	3.808
45.85	3.808
45.85	3.808
45.85	3.807
45.85	3.808
45.85	3.808
45.85	3.808
45.85	3.807
45.85	3.807
45.85	3.808
45.85	3.807
45.85	3.808
45.85	3.808
45.85	3.808
45.85	3.808
45.85	3.808
45.85	3.808
45.85	3.808
45.85	3.81
45.85	3.81
45.85	3.81
45.85	3.81
45.85	3.81
45.85	3.808
45.85	3.808
45.85	3.808
45.85	3.808
45.84	3.808
45.84	3.81
45.84	3.808
45.84	3.808
45.84	3.808
45.84	3.808
45.84	3.808
45.84	3.808
45.84	3.808
45.84	3.81
45.84	3.808
45.84	3.808
45.84	3.808
45.83	3.81
45.84	3.81
45.84	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.84	3.808
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.83	3.81
45.82	3.808
45.83	3.808
45.83	3.81
45.83	3.808
45.83	3.808
45.83	3.808
45.82	3.808
45.83	3.81
45.83	3.808
45.83	3.808
45.84	3.808
45.84	3.81
45.84	3.81
45.84	3.81
45.84	3.81
45.84	3.81
45.83	3.811
45.83	3.811
45.83	3.811
45.82	3.811
45.82	3.811
45.82	3.811
45.81	3.811
45.81	3.811
45.8	3.811
45.8	3.811
45.8	3.811
45.8	3.811
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.808
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.808
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.808
45.8	3.808
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.8	3.81
45.79	3.81
45.79	3.81
45.79	3.81
45.79	3.811
45.79	3.811
45.79	3.811
45.79	3.81
45.79	3.81
45.79	3.81
45.79	3.811
45.79	3.811
45.79	3.81
45.79	3.811
45.79	3.811
45.79	3.81
45.79	3.81
45.79	3.811
45.79	3.81
45.79	3.81
45.78	3.81
45.79	3.81
45.78	3.81
45.78	3.81
45.78	3.81
45.78	3.811
45.78	3.811
45.78	3.81
45.78	3.81
45.78	3.81
45.78	3.81
45.78	3.81
45.78	3.811
45.78	3.811
45.78	3.811
45.78	3.81
45.78	3.811
45.78	3.811
45.78	3.811
45.78	3.811
45.78	3.811
45.78	3.811
45.78	3.811
45.78	3.811
45.78	3.811
45.77	3.811
45.77	3.811
45.77	3.811
45.78	3.811
45.78	3.811
45.77	3.811
45.78	3.811
45.77	3.811
45.77	3.811
45.77	3.811
45.77	3.811
45.77	3.81
45.77	3.81
45.77	3.81
45.77	3.81
45.76	3.81
45.76	3.811
45.77	3.81
45.76	3.81
45.77	3.81
45.76	3.811
45.76	3.811
45.76	3.811
45.76	3.81
45.76	3.81
45.76	3.811
45.76	3.811
45.76	3.811
45.76	3.81
45.76	3.81
45.76	3.811
45.76	3.81
45.76	3.81
45.76	3.81
45.76	3.81
45.76	3.81
45.76	3.81
45.76	3.81
45.75	3.81
45.75	3.81
45.75	3.81
45.75	3.81
45.75	3.81
45.75	3.81
45.75	3.81
45.75	3.81
45.75	3.811
45.75	3.811
45.75	3.81
45.75	3.811
45.75	3.812
45.75	3.811
45.75	3.811
45.75	3.811
45.75	3.811
45.75	3.811
45.75	3.811
45.75	3.811
45.75	3.811
45.75	3.811
45.75	3.811
45.75	3.811
45.75	3.811
45.75	3.811
45.75	3.811
45.75	3.811
45.74	3.811
45.74	3.81
45.74	3.81
45.74	3.81
45.74	3.81
45.74	3.81
45.74	3.81
45.74	3.81
45.74	3.81
45.74	3.81
45.74	3.811
45.74	3.811
45.74	3.811
45.74	3.811
45.74	3.811
45.74	3.811
45.73	3.811
45.74	3.811
45.74	3.811
45.74	3.811
45.74	3.811
45.74	3.811
45.74	3.811
45.73	3.81
45.73	3.811
45.73	3.811
45.73	3.811
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.811
45.73	3.811
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.72	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.73	3.81
45.72	3.81
45.72	3.81
45.72	3.81
45.72	3.811
45.72	3.811
45.72	3.811
45.72	3.81
45.71	3.81
45.71	3.81
45.71	3.81
45.71	3.81
45.71	3.81
45.71	3.81
45.72	3.81
45.72	3.81
45.72	3.81
45.71	3.81
45.72	3.81
45.72	3.81
45.71	3.808
45.71	3.808
45.72	3.808
45.71	3.808
45.71	3.808
45.71	3.808
45.71	3.808
45.71	3.808
45.71	3.808
45.71	3.808
45.71	3.808
45.71	3.81
45.71	3.81
45.71	3.808
45.71	3.808
45.71	3.808
45.71	3.808
45.71	3.808
45.71	3.808
45.71	3.808
45.7	3.808
45.7	3.81
45.7	3.808
45.7	3.808
45.7	3.808
45.7	3.808
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.7	3.81
45.69	3.808
45.69	3.808
45.69	3.808
45.69	3.81
45.69	3.81
45.69	3.81
45.69	3.81
45.69	3.808
45.69	3.81
45.69	3.81
45.69	3.81
45.69	3.808
45.69	3.808
45.68	3.81
45.69	3.81
45.69	3.81
45.69	3.81
45.69	3.81
45.69	3.81
45.68	3.81
45.69	3.81
45.69	3.81
45.68	3.81
45.68	3.81
45.68	3.811
45.68	3.811
45.68	3.811
45.68	3.81
45.68	3.81
45.68	3.81
45.68	3.81
45.68	3.81
45.68	3.81
45.67	3.81
45.68	3.81
45.68	3.81
45.68	3.81
45.68	3.81
45.68	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.808
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.808
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.66	3.81
45.67	3.81
45.67	3.81
45.67	3.81
45.66	3.808
45.66	3.808
45.66	3.81
45.66	3.81
45.66	3.81
45.66	3.808
45.66	3.808
45.66	3.81
45.66	3.81
45.66	3.808
45.66	3.81
45.66	3.81
45.66	3.81
45.65	3.81
45.66	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.65	3.81
45.64	3.81
45.65	3.81
45.65	3.808
45.65	3.808
45.64	3.808
45.64	3.81
45.64	3.81
45.64	3.81
45.64	3.81
45.64	3.81
45.64	3.808
45.64	3.808
45.64	3.81
45.64	3.81
45.64	3.81
45.64	3.81
45.64	3.808
45.64	3.808
45.64	3.808
45.64	3.808
45.63	3.808
45.64	3.808
45.64	3.808
45.64	3.808
45.64	3.808
45.64	3.808
45.64	3.808
45.64	3.808
45.63	3.808
45.63	3.808
45.63	3.808
45.63	3.808
45.63	3.808
45.63	3.808
45.63	3.808
45.63	3.808
45.63	3.808
45.63	3.808
45.63	3.807
45.63	3.807
45.63	3.807
45.63	3.807
45.63	3.807
45.63	3.807
45.63	3.807
45.63	3.807
45.63	3.807
45.62	3.807
45.62	3.808
45.62	3.807
45.62	3.807
45.62	3.807
45.62	3.807
45.62	3.807
45.62	3.807
45.62	3.807
45.62	3.807
45.62	3.807
45.62	3.807
45.62	3.807
45.62	3.807
45.61	3.807
45.61	3.808
45.61	3.808
45.61	3.807
45.61	3.808
45.61	3.808
45.61	3.808
45.61	3.808
45.61	3.808
45.61	3.808
45.61	3.808
45.61	3.808
45.61	3.807
45.61	3.807
45.61	3.807
45.61	3.807
45.61	3.807
45.61	3.807
45.61	3.807
45.61	3.807
45.6	3.807
45.61	3.807
45.6	3.807
45.6	3.807
45.6	3.807
45.6	3.808
45.6	3.808
45.6	3.807
45.6	3.808
45.6	3.808
45.6	3.807
45.6	3.808
45.6	3.808
45.6	3.808
