Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
47.42	2.987
47.42	2.987
47.42	2.987
47.42	2.988
47.42	2.988
47.42	2.988
47.42	2.988
47.42	2.989
47.42	2.988
47.42	2.988
47.42	2.988
47.42	2.988
47.42	2.988
47.42	2.989
47.41	2.988
47.42	2.988
47.41	2.988
47.41	2.987
47.41	2.987
47.41	2.987
47.41	2.987
47.41	2.987
47.41	2.987
47.41	2.987
47.41	2.987
47.41	2.987
47.41	2.987
47.41	2.987
47.41	2.985
47.41	2.985
47.41	2.984
47.41	2.985
47.4	2.984
47.4	2.984
47.4	2.984
47.4	2.984
47.4	2.985
47.4	2.984
47.4	2.985
47.4	2.985
47.4	2.985
47.4	2.984
47.4	2.985
47.4	2.985
47.4	2.985
47.4	2.985
47.4	2.987
47.4	2.987
47.4	2.988
47.4	2.988
47.4	2.988
47.39	2.989
47.39	2.988
47.39	2.988
47.39	2.988
47.39	2.988
47.39	2.988
47.39	2.988
47.39	2.988
47.39	2.988
47.39	2.988
47.39	2.988
47.39	2.988
47.39	2.988
47.38	2.988
47.38	2.987
47.39	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.988
47.38	2.988
47.38	2.988
47.38	2.988
47.38	2.988
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.985
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.987
47.38	2.988
47.38	2.987
47.37	2.988
47.37	2.988
47.37	2.988
47.37	2.988
47.37	2.987
47.37	2.988
47.37	2.988
47.37	2.987
47.37	2.988
47.37	2.988
47.37	2.987
47.37	2.988
47.37	2.988
47.37	2.987
47.37	2.987
47.37	2.987
47.37	2.987
47.37	2.988
47.37	2.988
47.37	2.988
47.37	2.988
47.37	2.987
47.37	2.987
47.37	2.988
47.37	2.987
47.37	2.988
47.37	2.988
47.37	2.988
47.37	2.988
47.37	2.987
47.37	2.988
47.37	2.987
47.36	2.988
47.36	2.987
47.36	2.987
47.36	2.987
47.37	2.987
47.36	2.987
47.36	2.987
47.36	2.987
47.36	2.987
47.36	2.987
47.36	2.987
47.36	2.987
47.36	2.987
47.36	2.988
47.36	2.988
47.36	2.988
47.36	2.988
47.36	2.988
47.35	2.988
47.36	2.988
47.36	2.988
47.36	2.988
47.36	2.987
47.36	2.988
47.36	2.987
47.35	2.987
47.36	2.987
47.36	2.987
47.36	2.985
47.36	2.985
47.36	2.987
47.36	2.985
47.36	2.987
47.36	2.987
47.35	2.987
47.35	2.988
47.35	2.988
47.35	2.988
47.35	2.988
47.35	2.988
47.35	2.987
47.35	2.987
47.35	2.987
47.35	2.985
47.35	2.985
47.34	2.985
47.34	2.987
47.34	2.985
47.34	2.987
47.34	2.987
47.34	2.987
47.34	2.987
47.34	2.987
47.34	2.987
47.34	2.987
47.34	2.987
47.34	2.987
47.34	2.987
47.33	2.987
47.33	2.987
47.33	2.987
