Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
49.82	3.576
49.82	3.576
49.82	3.576
49.82	3.578
49.82	3.576
49.82	3.576
49.82	3.578
49.81	3.578
49.81	3.578
49.82	3.578
49.81	3.578
49.81	3.578
49.81	3.578
49.81	3.578
49.81	3.578
49.81	3.578
49.81	3.578
49.8	3.579
49.8	3.58
49.8	3.58
49.8	3.581
49.8	3.581
49.8	3.58
49.8	3.58
49.8	3.579
49.8	3.578
49.8	3.578
49.8	3.578
49.79	3.578
49.79	3.576
49.79	3.576
49.79	3.578
49.79	3.579
49.79	3.579
49.79	3.579
49.79	3.58
49.78	3.58
49.79	3.58
49.78	3.58
49.79	3.58
49.78	3.58
49.78	3.58
49.78	3.579
49.78	3.579
49.78	3.579
49.77	3.579
49.77	3.579
49.78	3.579
49.77	3.579
49.77	3.578
49.77	3.578
49.77	3.579
49.77	3.579
49.77	3.579
49.77	3.579
49.77	3.579
49.77	3.579
49.77	3.579
49.77	3.579
49.77	3.579
49.76	3.579
49.77	3.579
49.76	3.579
49.76	3.578
49.76	3.578
49.76	3.578
49.76	3.579
49.76	3.58
49.76	3.579
49.75	3.579
49.75	3.579
49.75	3.579
49.75	3.579
49.75	3.579
49.75	3.579
49.75	3.579
49.75	3.578
49.75	3.578
49.75	3.579
49.75	3.579
49.75	3.579
49.74	3.58
49.74	3.58
49.74	3.581
49.74	3.58
49.74	3.58
49.74	3.58
49.74	3.58
49.74	3.579
49.74	3.579
49.74	3.579
49.74	3.579
49.74	3.58
49.74	3.58
49.73	3.58
49.73	3.579
49.73	3.578
49.73	3.578
49.73	3.578
49.73	3.579
49.72	3.579
49.73	3.579
49.73	3.58
49.73	3.58
49.73	3.579
49.73	3.579
49.73	3.579
49.73	3.579
49.72	3.578
49.72	3.578
49.72	3.578
49.72	3.578
49.72	3.578
49.72	3.578
49.72	3.578
49.72	3.578
49.72	3.579
49.72	3.579
49.72	3.579
49.71	3.579
49.71	3.579
49.71	3.58
49.71	3.58
49.71	3.581
49.71	3.581
49.71	3.581
49.7	3.581
49.7	3.581
49.7	3.58
49.7	3.58
49.7	3.58
49.7	3.579
49.7	3.579
49.7	3.579
49.7	3.579
49.7	3.579
49.7	3.579
49.69	3.58
49.69	3.58
49.69	3.58
49.69	3.58
49.69	3.579
49.69	3.578
49.69	3.579
49.69	3.58
49.69	3.58
49.69	3.58
49.69	3.581
49.68	3.581
49.68	3.581
49.68	3.58
49.68	3.58
49.68	3.58
49.68	3.579
49.68	3.579
49.67	3.579
49.67	3.58
49.67	3.579
49.67	3.58
49.67	3.58
49.67	3.58
49.67	3.579
49.67	3.579
49.67	3.579
49.67	3.579
49.66	3.579
49.66	3.579
49.66	3.579
49.66	3.579
49.66	3.579
49.66	3.579
49.66	3.579
49.66	3.579
49.66	3.579
49.66	3.579
49.65	3.579
49.65	3.579
49.65	3.58
49.65	3.58
49.65	3.58
49.65	3.581
49.65	3.581
49.65	3.581
49.65	3.581
49.65	3.581
49.65	3.581
49.64	3.581
49.64	3.581
49.64	3.582
49.65	3.581
49.64	3.58
49.64	3.58
49.65	3.58
49.64	3.58
49.64	3.58
49.64	3.58
49.64	3.58
49.64	3.58
49.64	3.58
49.64	3.58
49.64	3.58
49.64	3.581
49.64	3.581
49.63	3.581
49.63	3.581
49.63	3.581
49.63	3.581
49.63	3.58
49.63	3.581
49.63	3.582
49.62	3.582
49.62	3.582
49.62	3.582
49.62	3.581
49.62	3.581
49.62	3.581
49.62	3.581
49.62	3.58
49.62	3.58
49.62	3.58
49.62	3.58
49.62	3.58
49.62	3.579
49.62	3.579
49.61	3.58
49.61	3.58
49.61	3.579
49.61	3.578
49.61	3.579
49.61	3.579
49.6	3.579
49.61	3.579
49.6	3.579
49.6	3.58
49.6	3.58
49.6	3.58
49.6	3.58
49.6	3.58
49.6	3.58
49.6	3.58
49.6	3.58
49.6	3.579
49.6	3.579
49.59	3.579
49.59	3.58
49.59	3.58
49.59	3.58
49.59	3.579
49.59	3.579
49.59	3.58
49.59	3.581
49.59	3.581
49.59	3.581
49.59	3.582
49.59	3.581
49.58	3.58
49.58	3.58
49.59	3.58
49.59	3.58
49.59	3.58
49.58	3.58
49.59	3.579
49.59	3.579
49.59	3.58
49.59	3.58
49.58	3.58
49.58	3.58
49.58	3.58
49.58	3.58
49.58	3.58
49.58	3.58
49.58	3.581
49.57	3.581
49.57	3.581
49.57	3.581
49.57	3.581
49.57	3.58
49.57	3.58
49.57	3.58
49.57	3.58
49.57	3.579
49.57	3.578
49.58	3.579
49.57	3.578
49.57	3.579
49.57	3.579
49.57	3.579
49.57	3.579
49.57	3.579
49.56	3.579
49.56	3.58
49.56	3.58
49.56	3.58
49.56	3.581
49.56	3.581
49.55	3.581
49.56	3.581
49.55	3.581
49.56	3.581
49.56	3.581
49.56	3.58
49.56	3.58
49.55	3.58
49.55	3.579
49.55	3.578
49.55	3.578
49.54	3.579
49.54	3.579
49.55	3.579
49.54	3.579
49.54	3.579
49.55	3.579
49.54	3.58
49.54	3.579
49.54	3.579
49.54	3.58
49.54	3.58
49.54	3.58
49.54	3.58
49.54	3.581
49.54	3.581
49.54	3.58
49.54	3.579
49.54	3.579
49.53	3.579
49.53	3.579
49.53	3.579
49.53	3.579
49.53	3.58
49.53	3.58
49.53	3.579
49.53	3.58
49.53	3.58
49.53	3.58
49.53	3.58
49.53	3.58
49.52	3.581
49.52	3.581
49.52	3.581
49.52	3.58
49.52	3.581
49.52	3.581
49.52	3.581
49.52	3.581
49.52	3.581
49.52	3.581
49.52	3.581
49.52	3.581
49.52	3.581
49.52	3.581
49.51	3.581
49.51	3.58
49.51	3.58
49.51	3.58
49.51	3.579
49.51	3.579
49.51	3.58
49.51	3.58
49.51	3.58
49.51	3.58
49.51	3.58
49.51	3.58
49.5	3.579
49.5	3.579
49.51	3.579
49.5	3.58
49.5	3.581
49.5	3.581
49.5	3.581
49.5	3.58
49.5	3.58
49.5	3.58
49.5	3.58
49.5	3.58
49.5	3.58
49.5	3.58
49.5	3.58
49.5	3.58
49.49	3.58
49.49	3.581
49.49	3.581
49.49	3.581
49.49	3.58
49.49	3.581
49.49	3.581
49.49	3.58
49.49	3.58
49.49	3.581
49.48	3.581
49.49	3.581
49.48	3.581
49.49	3.58
49.48	3.58
49.48	3.58
49.48	3.58
49.48	3.58
49.48	3.58
49.48	3.58
49.48	3.579
49.48	3.58
49.48	3.58
49.48	3.58
49.48	3.58
49.47	3.581
49.47	3.581
49.47	3.58
49.47	3.58
49.47	3.581
49.47	3.581
49.47	3.58
49.47	3.581
49.47	3.581
49.47	3.581
49.47	3.581
49.47	3.581
49.47	3.58
49.47	3.58
49.47	3.58
49.47	3.58
49.47	3.58
49.47	3.58
49.46	3.58
49.46	3.58
49.46	3.58
49.46	3.579
49.46	3.579
49.46	3.58
49.46	3.58
49.46	3.58
49.46	3.58
49.46	3.581
49.45	3.581
49.46	3.582
49.45	3.581
49.45	3.581
49.45	3.581
49.45	3.58
49.45	3.58
49.45	3.58
49.45	3.58
49.45	3.58
49.45	3.58
49.45	3.58
49.45	3.58
49.45	3.58
49.45	3.58
49.45	3.58
49.45	3.58
49.45	3.58
49.45	3.581
49.44	3.581
49.44	3.582
49.44	3.582
49.44	3.582
49.44	3.581
49.44	3.581
49.44	3.581
49.44	3.581
49.44	3.581
49.43	3.581
49.43	3.581
49.43	3.581
49.43	3.581
49.43	3.581
49.43	3.581
49.43	3.581
49.43	3.58
49.43	3.58
49.43	3.58
49.42	3.58
49.43	3.58
49.42	3.58
49.42	3.58
49.42	3.579
49.42	3.579
49.42	3.58
49.42	3.58
49.42	3.58
49.42	3.58
49.42	3.58
49.42	3.58
