Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
46.06	3.866
46.06	3.867
46.06	3.866
46.06	3.866
46.05	3.866
46.05	3.866
46.06	3.866
46.06	3.864
46.06	3.863
46.05	3.864
46.05	3.864
46.05	3.864
46.05	3.866
46.06	3.866
46.06	3.864
46.05	3.864
46.05	3.864
46.05	3.864
46.05	3.864
46.05	3.864
46.05	3.866
46.05	3.866
46.05	3.864
46.05	3.866
46.05	3.866
46.04	3.866
46.04	3.866
46.04	3.866
46.04	3.867
46.04	3.866
46.05	3.866
46.05	3.866
46.04	3.863
46.04	3.863
46.04	3.863
46.04	3.863
46.04	3.864
46.04	3.867
46.04	3.867
46.04	3.866
46.03	3.866
46.03	3.864
46.04	3.864
46.03	3.866
46.03	3.864
46.03	3.864
46.03	3.864
46.03	3.864
46.03	3.866
46.03	3.866
46.03	3.866
46.03	3.864
46.03	3.864
46.03	3.864
46.03	3.864
46.03	3.864
46.03	3.866
46.03	3.864
46.02	3.864
46.03	3.863
46.03	3.863
46.02	3.863
46.03	3.863
46.03	3.863
46.03	3.863
46.03	3.864
46.03	3.866
46.02	3.866
46.02	3.864
46.02	3.866
46.02	3.866
46.02	3.864
46.02	3.866
46.02	3.866
46.03	3.867
46.03	3.867
46.02	3.866
46.02	3.867
46.02	3.866
46.02	3.866
46.02	3.866
46.02	3.864
46.02	3.863
46.02	3.864
46.02	3.863
46.02	3.863
46.01	3.864
46.02	3.863
46.02	3.864
46.01	3.864
46.01	3.864
46.01	3.866
46.01	3.864
46.01	3.864
46.02	3.864
46.01	3.863
46.01	3.862
46.01	3.863
46.01	3.862
46.01	3.863
46.01	3.863
46.01	3.862
46.01	3.862
46.01	3.862
46.01	3.862
46.02	3.862
46.01	3.863
46.01	3.863
46.01	3.863
46.01	3.863
46.01	3.864
46.01	3.866
46.01	3.866
46.01	3.864
46.01	3.866
46.01	3.866
46.01	3.866
46	3.864
46	3.864
46.01	3.864
46	3.863
46	3.864
46	3.864
46	3.864
46	3.866
46	3.864
46	3.864
46	3.863
46	3.863
46	3.864
46	3.864
46	3.863
46	3.864
46	3.866
46	3.866
46	3.864
46	3.866
46	3.866
45.99	3.866
45.99	3.866
45.99	3.866
45.99	3.864
46	3.864
46	3.866
45.99	3.866
45.99	3.864
45.99	3.864
45.99	3.864
45.99	3.866
45.99	3.867
45.99	3.866
45.99	3.866
45.99	3.867
45.99	3.866
45.99	3.864
45.99	3.863
45.99	3.863
45.99	3.863
45.99	3.864
45.99	3.864
45.98	3.864
45.98	3.863
45.98	3.864
45.98	3.864
45.98	3.863
45.98	3.863
45.98	3.864
45.98	3.864
45.98	3.863
45.98	3.863
45.98	3.863
45.98	3.862
45.98	3.863
45.98	3.863
45.98	3.864
45.98	3.866
45.97	3.866
45.97	3.864
45.98	3.866
45.98	3.866
45.98	3.864
45.98	3.863
45.98	3.864
45.98	3.864
45.98	3.864
45.97	3.864
45.97	3.864
45.97	3.864
45.97	3.863
45.97	3.863
45.97	3.863
45.97	3.863
45.97	3.862
45.97	3.863
45.97	3.862
45.97	3.862
45.97	3.862
45.97	3.863
45.97	3.863
45.97	3.863
45.97	3.862
45.97	3.862
45.97	3.862
45.96	3.862
45.96	3.862
45.96	3.862
45.96	3.863
45.96	3.863
45.96	3.863
45.96	3.864
45.96	3.864
45.96	3.863
45.96	3.863
45.96	3.863
45.95	3.863
45.95	3.863
45.95	3.863
45.95	3.862
45.95	3.863
45.95	3.862
45.95	3.862
45.95	3.862
45.95	3.863
45.95	3.863
45.95	3.863
45.95	3.864
45.95	3.864
45.95	3.863
45.95	3.863
45.94	3.862
45.94	3.862
45.94	3.861
45.94	3.862
45.94	3.862
45.94	3.863
45.94	3.863
45.94	3.863
45.94	3.864
45.94	3.864
45.94	3.863
45.94	3.863
45.94	3.863
45.94	3.863
45.94	3.863
45.94	3.863
45.94	3.863
45.94	3.863
45.94	3.863
45.93	3.863
45.93	3.863
45.94	3.863
45.94	3.863
45.93	3.863
45.93	3.863
45.93	3.864
45.93	3.863
45.93	3.863
45.93	3.862
45.93	3.862
45.93	3.862
45.93	3.862
45.93	3.862
45.93	3.862
45.93	3.862
45.93	3.862
45.93	3.861
45.93	3.862
45.93	3.862
45.93	3.861
45.93	3.861
45.92	3.862
45.92	3.862
45.92	3.862
45.92	3.861
45.92	3.862
45.93	3.862
45.92	3.862
45.92	3.863
45.92	3.863
45.92	3.862
45.92	3.862
45.92	3.861
45.92	3.861
45.92	3.862
45.92	3.862
45.92	3.862
45.91	3.862
45.92	3.862
45.91	3.862
45.91	3.861
45.91	3.861
45.91	3.86
45.91	3.861
45.91	3.861
45.91	3.863
45.92	3.863
45.91	3.863
45.91	3.863
45.91	3.863
45.91	3.863
45.91	3.863
45.91	3.863
45.91	3.863
45.91	3.862
45.91	3.862
45.91	3.862
45.91	3.863
45.91	3.862
45.91	3.863
45.9	3.863
45.9	3.863
45.91	3.863
45.9	3.863
45.9	3.862
45.9	3.861
45.9	3.861
45.9	3.86
45.9	3.86
45.9	3.86
45.9	3.861
45.9	3.86
45.9	3.86
45.9	3.86
45.9	3.861
45.9	3.862
45.9	3.862
45.9	3.862
45.9	3.862
45.9	3.861
45.9	3.862
45.89	3.861
45.89	3.861
45.89	3.861
45.89	3.861
45.89	3.862
45.89	3.861
45.89	3.862
45.89	3.862
45.89	3.862
45.89	3.862
45.89	3.861
45.89	3.862
45.89	3.862
45.89	3.863
45.89	3.863
45.89	3.862
45.89	3.862
45.89	3.862
45.89	3.861
45.89	3.861
45.89	3.86
45.89	3.86
45.89	3.861
45.89	3.862
45.89	3.862
45.88	3.862
45.88	3.862
45.89	3.862
45.88	3.862
45.89	3.863
45.88	3.863
45.88	3.863
45.89	3.863
45.89	3.863
45.88	3.863
45.88	3.863
45.88	3.863
45.88	3.864
45.88	3.864
45.88	3.863
45.88	3.863
45.88	3.863
45.88	3.863
45.88	3.862
45.87	3.863
45.88	3.862
45.88	3.861
45.88	3.861
45.88	3.86
45.87	3.861
45.87	3.861
45.87	3.861
45.87	3.861
45.87	3.861
45.87	3.861
45.87	3.862
45.87	3.863
45.87	3.863
45.87	3.864
45.87	3.864
45.87	3.864
45.87	3.863
45.87	3.863
45.87	3.864
45.87	3.864
45.87	3.863
45.87	3.863
45.86	3.862
45.86	3.862
45.86	3.862
45.87	3.862
45.87	3.862
45.86	3.862
45.87	3.861
45.87	3.861
45.87	3.862
45.86	3.861
45.86	3.862
45.86	3.862
45.86	3.862
45.86	3.862
45.86	3.862
45.86	3.862
45.86	3.863
45.86	3.863
45.86	3.862
45.86	3.862
45.85	3.862
45.86	3.862
45.85	3.862
45.85	3.862
45.85	3.862
45.85	3.862
45.85	3.862
45.85	3.863
45.85	3.863
45.85	3.863
45.85	3.863
45.85	3.862
45.85	3.862
45.85	3.862
45.85	3.862
45.84	3.862
45.84	3.861
45.85	3.862
45.84	3.863
45.84	3.862
45.84	3.862
45.84	3.862
45.84	3.862
45.84	3.862
45.84	3.861
45.84	3.861
45.84	3.861
45.84	3.861
45.84	3.861
45.84	3.862
45.84	3.861
45.84	3.861
45.84	3.861
45.84	3.861
45.84	3.861
45.84	3.861
45.84	3.861
45.84	3.861
45.84	3.861
45.84	3.861
45.84	3.861
45.84	3.862
45.84	3.862
45.83	3.862
45.83	3.862
45.83	3.863
45.83	3.863
45.83	3.863
45.83	3.863
45.83	3.863
45.83	3.863
45.83	3.863
45.83	3.863
45.82	3.863
45.83	3.862
45.82	3.862
45.82	3.862
45.82	3.863
45.82	3.863
45.82	3.862
45.82	3.863
45.82	3.862
45.82	3.862
45.82	3.862
45.82	3.862
45.82	3.862
45.82	3.862
45.82	3.862
45.82	3.861
45.82	3.861
45.82	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.81	3.861
45.8	3.861
45.8	3.861
45.8	3.861
45.8	3.861
45.8	3.861
45.8	3.861
45.8	3.861
45.8	3.861
45.8	3.862
45.8	3.862
45.79	3.861
45.8	3.861
45.79	3.861
45.79	3.861
45.79	3.861
45.79	3.861
45.79	3.86
45.79	3.86
45.79	3.86
45.79	3.86
45.79	3.86
45.79	3.86
45.79	3.86
45.79	3.86
45.79	3.861
45.79	3.862
45.79	3.862
45.79	3.862
45.79	3.862
45.79	3.862
45.79	3.862
45.79	3.862
45.79	3.862
45.78	3.862
45.78	3.861
45.79	3.861
45.79	3.861
45.79	3.862
45.79	3.862
45.78	3.862
45.78	3.862
45.78	3.862
45.78	3.863
45.78	3.862
45.78	3.862
45.78	3.862
45.78	3.862
45.78	3.862
45.78	3.862
45.78	3.861
45.77	3.861
45.78	3.862
45.78	3.862
45.77	3.862
45.77	3.863
45.77	3.863
45.77	3.862
45.77	3.862
45.77	3.862
45.77	3.862
45.77	3.861
45.77	3.861
45.77	3.861
45.77	3.862
45.77	3.862
45.77	3.862
45.77	3.862
45.77	3.862
45.77	3.862
45.77	3.862
45.77	3.863
45.77	3.863
45.76	3.863
45.77	3.863
45.77	3.863
45.76	3.863
45.76	3.863
45.76	3.863
45.76	3.863
45.76	3.862
45.76	3.862
45.76	3.862
45.76	3.862
45.76	3.862
45.76	3.862
45.76	3.863
45.76	3.863
45.76	3.863
45.75	3.864
45.75	3.864
45.75	3.864
45.75	3.864
45.75	3.864
45.75	3.863
45.75	3.863
45.75	3.863
45.75	3.863
45.75	3.863
45.76	3.863
45.75	3.863
45.75	3.863
45.75	3.862
45.75	3.862
45.75	3.862
45.75	3.862
45.75	3.861
45.75	3.861
45.75	3.861
45.75	3.861
45.75	3.862
45.75	3.861
45.75	3.861
45.75	3.861
45.75	3.862
45.74	3.862
45.74	3.863
45.75	3.863
45.75	3.863
45.74	3.863
45.74	3.863
45.74	3.863
45.74	3.864
45.74	3.864
45.74	3.866
45.74	3.866
45.74	3.864
45.74	3.864
45.74	3.864
45.74	3.864
45.74	3.864
45.74	3.864
45.74	3.864
45.74	3.863
45.74	3.863
45.73	3.863
45.74	3.863
45.74	3.863
45.74	3.863
45.74	3.864
45.74	3.864
45.73	3.864
45.73	3.864
45.73	3.864
45.73	3.864
45.73	3.864
45.73	3.864
45.73	3.866
45.74	3.864
45.73	3.866
45.73	3.866
45.73	3.866
45.73	3.864
45.73	3.864
45.73	3.863
45.73	3.863
45.73	3.863
45.72	3.863
45.72	3.863
45.72	3.863
45.72	3.863
45.72	3.862
45.73	3.862
45.72	3.862
45.72	3.862
45.72	3.861
45.72	3.861
45.72	3.861
45.72	3.862
45.72	3.862
45.72	3.862
45.72	3.862
45.72	3.862
45.72	3.861
45.72	3.861
45.72	3.861
45.72	3.861
45.72	3.862
45.72	3.862
45.71	3.861
45.72	3.862
45.71	3.862
45.72	3.862
45.71	3.861
45.71	3.861
45.71	3.862
45.71	3.862
45.71	3.862
45.71	3.862
45.71	3.862
45.71	3.862
45.71	3.863
45.71	3.863
45.71	3.862
45.71	3.862
45.71	3.862
45.71	3.862
45.71	3.861
45.71	3.862
45.7	3.862
45.7	3.863
45.7	3.863
45.7	3.863
45.71	3.863
45.71	3.863
45.71	3.863
45.71	3.863
45.7	3.862
45.7	3.861
45.71	3.861
45.7	3.862
45.7	3.862
45.7	3.863
45.7	3.863
45.7	3.863
45.7	3.863
45.7	3.863
45.7	3.862
45.7	3.863
45.7	3.863
45.7	3.862
45.7	3.862
45.7	3.862
45.7	3.862
45.69	3.862
45.69	3.861
45.69	3.861
45.69	3.861
45.69	3.862
45.69	3.862
45.69	3.862
45.69	3.862
