Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
49.97	3.57
49.97	3.57
49.97	3.569
49.97	3.57
49.97	3.57
49.97	3.57
49.97	3.573
49.97	3.573
49.97	3.571
49.97	3.573
49.97	3.573
49.96	3.573
49.97	3.573
49.96	3.571
49.96	3.569
49.97	3.569
49.96	3.569
49.96	3.569
49.96	3.569
49.96	3.569
49.96	3.569
49.96	3.571
49.96	3.571
49.96	3.573
49.96	3.571
49.96	3.573
49.96	3.573
49.96	3.573
49.96	3.573
49.95	3.571
49.95	3.571
49.96	3.573
49.95	3.573
49.96	3.571
49.95	3.571
49.95	3.571
49.95	3.571
49.95	3.571
49.95	3.573
49.96	3.574
49.95	3.571
49.95	3.571
49.95	3.573
49.95	3.573
49.95	3.573
49.95	3.571
49.95	3.571
49.95	3.57
49.95	3.571
49.95	3.57
49.95	3.571
49.95	3.571
49.95	3.573
49.95	3.574
49.94	3.571
49.95	3.573
49.94	3.573
49.94	3.573
49.94	3.574
49.94	3.573
49.94	3.571
49.94	3.571
49.94	3.571
49.94	3.571
49.94	3.57
49.94	3.57
49.94	3.57
49.94	3.571
49.94	3.571
49.94	3.57
49.94	3.57
49.94	3.569
49.94	3.568
49.94	3.569
49.94	3.568
49.94	3.567
49.94	3.569
49.94	3.569
49.94	3.57
49.94	3.571
49.94	3.57
49.94	3.569
49.94	3.568
49.94	3.568
49.93	3.569
49.93	3.57
49.93	3.57
49.93	3.569
49.93	3.57
49.93	3.57
49.93	3.57
49.93	3.571
49.93	3.571
49.93	3.574
49.93	3.575
49.93	3.574
49.93	3.574
49.93	3.573
49.93	3.573
49.93	3.573
49.93	3.571
49.92	3.573
49.93	3.573
49.92	3.571
49.92	3.571
49.92	3.571
49.92	3.571
49.92	3.571
49.92	3.57
49.92	3.57
49.92	3.57
49.92	3.57
49.92	3.571
49.92	3.573
49.92	3.571
49.92	3.57
49.92	3.57
49.92	3.571
49.92	3.571
49.92	3.569
49.92	3.569
49.92	3.569
49.92	3.569
49.91	3.569
49.92	3.569
49.92	3.57
49.92	3.569
49.91	3.57
49.91	3.569
49.91	3.569
49.91	3.57
49.91	3.569
49.91	3.568
49.91	3.569
49.91	3.569
49.91	3.569
49.91	3.569
49.91	3.57
49.91	3.57
49.91	3.573
49.91	3.571
49.91	3.571
49.91	3.571
49.91	3.571
49.91	3.57
49.91	3.57
49.91	3.57
49.91	3.569
49.9	3.57
49.91	3.57
49.91	3.569
49.9	3.569
49.9	3.569
49.9	3.57
49.9	3.57
49.9	3.571
49.9	3.571
49.89	3.57
49.9	3.57
49.9	3.571
49.9	3.571
49.89	3.571
49.89	3.571
49.89	3.57
49.89	3.57
49.89	3.569
49.89	3.569
49.89	3.569
49.89	3.57
49.89	3.569
49.89	3.569
49.89	3.57
49.89	3.571
49.89	3.57
49.89	3.571
49.89	3.57
49.89	3.57
49.89	3.57
49.89	3.57
49.89	3.571
49.89	3.573
49.88	3.573
49.88	3.571
49.88	3.573
49.89	3.573
49.89	3.573
49.88	3.571
49.88	3.571
49.88	3.57
49.88	3.57
49.88	3.569
49.88	3.569
49.88	3.57
49.88	3.569
49.88	3.57
49.88	3.57
49.88	3.57
49.88	3.571
49.88	3.573
49.88	3.57
49.88	3.573
49.88	3.574
49.88	3.571
49.88	3.571
49.87	3.571
49.87	3.573
49.87	3.571
49.87	3.571
49.87	3.571
49.87	3.571
49.87	3.571
49.87	3.57
49.87	3.57
49.87	3.571
49.86	3.571
49.86	3.57
49.87	3.571
49.87	3.57
49.86	3.571
49.87	3.571
49.86	3.571
49.86	3.571
49.86	3.57
49.86	3.571
49.86	3.569
49.86	3.57
49.86	3.57
49.86	3.57
49.86	3.57
49.86	3.57
49.86	3.571
49.86	3.571
49.86	3.571
49.86	3.573
49.86	3.573
49.86	3.571
49.86	3.573
49.86	3.573
49.85	3.573
49.85	3.571
49.85	3.569
49.85	3.568
49.85	3.569
49.85	3.57
49.85	3.571
49.85	3.571
49.85	3.571
49.85	3.57
49.85	3.571
49.85	3.57
49.85	3.57
49.85	3.57
49.85	3.571
49.85	3.573
49.85	3.571
49.85	3.573
49.85	3.573
49.85	3.573
49.85	3.574
49.85	3.573
49.85	3.571
49.85	3.571
49.85	3.571
49.85	3.573
49.85	3.571
49.84	3.571
49.84	3.571
49.84	3.571
49.85	3.571
49.84	3.571
49.84	3.571
49.84	3.571
49.84	3.57
49.84	3.571
49.84	3.571
49.84	3.573
49.84	3.574
49.84	3.573
49.84	3.57
49.84	3.571
49.84	3.573
49.84	3.573
49.84	3.573
49.83	3.573
49.83	3.573
49.84	3.573
49.83	3.571
49.83	3.571
49.83	3.57
49.83	3.57
49.83	3.57
49.83	3.57
49.83	3.573
49.83	3.571
49.83	3.571
49.83	3.573
49.83	3.571
49.83	3.573
49.83	3.573
49.83	3.571
49.83	3.571
49.83	3.57
49.82	3.571
49.82	3.571
49.83	3.571
49.83	3.571
49.82	3.571
49.82	3.571
49.83	3.574
49.82	3.573
49.82	3.573
49.82	3.571
49.82	3.57
49.82	3.571
49.82	3.571
49.82	3.571
49.82	3.57
49.82	3.57
49.82	3.57
49.82	3.57
49.82	3.571
49.82	3.571
49.82	3.571
49.82	3.571
49.82	3.571
49.82	3.573
49.81	3.573
49.81	3.573
49.81	3.573
49.81	3.57
49.81	3.571
49.81	3.57
49.81	3.57
49.81	3.571
49.81	3.571
49.81	3.571
49.81	3.571
49.81	3.571
49.81	3.574
49.81	3.574
49.81	3.574
49.81	3.573
49.81	3.574
49.8	3.574
49.8	3.574
49.8	3.573
49.8	3.574
49.8	3.573
49.8	3.573
49.8	3.571
49.8	3.571
49.8	3.571
49.8	3.57
49.8	3.569
49.8	3.57
49.8	3.57
49.8	3.57
49.8	3.57
49.8	3.57
49.79	3.571
49.79	3.573
49.79	3.574
49.79	3.571
49.79	3.571
49.79	3.573
49.79	3.573
49.79	3.57
49.79	3.571
49.79	3.571
49.79	3.571
49.78	3.571
49.78	3.573
49.78	3.571
49.78	3.571
49.78	3.571
49.78	3.573
49.78	3.573
49.79	3.573
49.79	3.571
49.78	3.574
49.78	3.574
49.78	3.573
49.78	3.573
49.78	3.571
49.78	3.573
49.78	3.573
49.78	3.573
49.78	3.573
49.78	3.573
49.78	3.573
49.77	3.571
49.77	3.571
49.77	3.571
49.77	3.571
49.78	3.573
49.78	3.573
49.78	3.571
49.77	3.571
49.77	3.571
49.77	3.573
49.77	3.573
49.77	3.573
49.77	3.573
49.77	3.573
49.77	3.574
49.76	3.574
49.76	3.573
49.76	3.571
49.76	3.573
49.76	3.573
49.76	3.573
49.76	3.571
49.76	3.571
49.76	3.571
49.76	3.573
49.76	3.573
49.76	3.573
49.76	3.573
49.76	3.573
49.76	3.574
49.75	3.574
49.75	3.574
49.76	3.574
49.75	3.574
49.76	3.573
49.76	3.573
49.76	3.571
49.75	3.571
49.75	3.571
49.75	3.571
49.75	3.573
49.75	3.573
49.75	3.571
49.75	3.571
49.75	3.571
49.75	3.571
49.74	3.571
49.75	3.57
49.74	3.57
49.74	3.57
49.74	3.57
49.74	3.571
49.74	3.571
49.74	3.57
49.74	3.57
49.74	3.571
49.74	3.573
49.74	3.573
49.74	3.574
49.74	3.574
49.74	3.573
49.74	3.573
49.74	3.573
49.74	3.573
49.74	3.573
49.73	3.573
49.73	3.573
49.74	3.573
49.73	3.573
49.73	3.573
49.73	3.574
49.73	3.574
49.73	3.574
49.73	3.575
49.73	3.574
49.73	3.574
49.73	3.574
49.73	3.574
49.73	3.573
49.73	3.574
49.72	3.574
49.72	3.573
49.73	3.573
49.72	3.574
49.72	3.573
49.72	3.573
49.72	3.573
49.72	3.571
49.72	3.573
49.72	3.573
49.72	3.573
49.72	3.571
49.72	3.571
49.72	3.571
49.72	3.571
49.72	3.571
49.72	3.571
49.72	3.571
49.71	3.571
49.71	3.571
49.71	3.571
49.71	3.571
49.71	3.573
49.71	3.573
49.71	3.573
49.71	3.573
49.71	3.573
49.71	3.573
49.71	3.573
49.71	3.573
49.71	3.573
49.71	3.573
49.71	3.573
49.7	3.573
49.7	3.574
49.7	3.573
49.7	3.573
49.7	3.571
49.7	3.571
49.7	3.57
49.7	3.57
49.7	3.571
49.7	3.571
49.69	3.571
49.7	3.573
49.7	3.573
49.69	3.573
49.69	3.571
49.7	3.571
49.69	3.573
49.69	3.574
49.69	3.573
49.69	3.573
49.69	3.573
49.69	3.573
49.69	3.573
49.69	3.573
49.68	3.573
49.68	3.573
49.68	3.573
49.68	3.571
49.68	3.57
49.68	3.57
49.68	3.57
49.68	3.571
49.68	3.571
49.68	3.571
49.68	3.573
49.68	3.573
49.68	3.573
49.67	3.573
49.67	3.573
49.68	3.574
49.67	3.574
49.67	3.574
49.67	3.573
49.67	3.573
49.67	3.573
49.67	3.573
49.67	3.573
49.67	3.573
49.67	3.574
49.67	3.573
49.66	3.573
49.66	3.573
49.67	3.573
49.66	3.573
49.66	3.571
49.66	3.571
49.66	3.571
49.66	3.571
49.66	3.571
49.66	3.571
49.66	3.571
49.66	3.571
49.66	3.571
49.66	3.571
49.65	3.573
49.66	3.573
49.65	3.571
49.65	3.573
49.65	3.573
49.65	3.573
49.65	3.573
49.65	3.573
49.65	3.574
49.65	3.573
49.65	3.573
49.65	3.573
49.65	3.573
49.65	3.573
49.65	3.571
49.65	3.571
49.64	3.573
49.65	3.573
49.65	3.573
49.65	3.574
49.65	3.574
49.65	3.573
49.64	3.574
49.64	3.574
49.64	3.574
49.64	3.574
49.64	3.574
49.64	3.573
49.64	3.573
49.64	3.574
49.64	3.573
49.63	3.573
49.63	3.571
49.63	3.571
49.63	3.573
49.63	3.573
49.63	3.571
49.63	3.573
49.63	3.574
49.63	3.575
49.63	3.575
49.63	3.575
49.63	3.575
49.63	3.574
49.63	3.575
49.63	3.575
49.63	3.574
49.62	3.574
49.63	3.574
49.63	3.574
49.63	3.574
49.62	3.574
49.62	3.574
49.62	3.574
49.62	3.574
49.62	3.574
49.62	3.573
49.62	3.573
49.62	3.573
49.62	3.573
49.62	3.571
49.62	3.573
49.62	3.573
49.62	3.574
49.61	3.574
49.62	3.575
49.61	3.574
49.61	3.574
49.61	3.575
49.61	3.575
49.61	3.574
49.61	3.574
49.61	3.574
49.61	3.574
49.61	3.573
49.61	3.573
49.61	3.574
49.61	3.574
49.61	3.574
49.61	3.574
49.6	3.573
49.6	3.574
49.6	3.574
49.6	3.574
49.6	3.574
49.6	3.574
49.6	3.575
49.6	3.575
49.6	3.575
49.6	3.574
49.6	3.574
49.6	3.574
49.6	3.574
49.6	3.574
49.6	3.574
49.59	3.573
49.59	3.573
49.59	3.573
49.59	3.573
49.59	3.573
49.59	3.571
49.59	3.571
49.59	3.573
49.59	3.574
49.59	3.574
49.59	3.573
49.58	3.573
49.58	3.573
49.58	3.573
49.58	3.573
49.58	3.573
49.58	3.574
49.58	3.574
49.58	3.574
49.58	3.574
49.58	3.574
49.58	3.574
49.58	3.574
49.58	3.574
49.58	3.574
49.58	3.574
49.58	3.574
49.58	3.575
49.58	3.575
49.58	3.574
49.58	3.574
49.57	3.574
49.58	3.574
49.58	3.574
49.57	3.574
49.57	3.574
49.57	3.574
49.57	3.574
49.57	3.575
49.57	3.574
49.57	3.574
49.57	3.574
49.57	3.574
49.57	3.574
49.56	3.574
49.57	3.574
49.57	3.573
49.57	3.573
49.56	3.573
49.56	3.573
49.56	3.574
49.56	3.574
49.56	3.574
49.56	3.574
49.56	3.574
49.56	3.574
49.56	3.574
49.56	3.574
49.56	3.574
49.56	3.574
49.56	3.574
49.56	3.574
49.56	3.574
49.56	3.574
49.55	3.574
49.55	3.574
49.55	3.574
49.55	3.574
49.55	3.574
49.55	3.573
49.55	3.573
49.55	3.573
49.55	3.573
49.56	3.574
49.56	3.574
49.56	3.573
49.55	3.573
49.56	3.573
49.55	3.571
49.55	3.571
49.55	3.57
49.55	3.57
49.55	3.57
49.55	3.57
49.55	3.571
49.55	3.573
49.55	3.573
49.54	3.573
49.54	3.573
49.54	3.573
49.54	3.574
49.54	3.574
49.54	3.574
49.54	3.574
49.54	3.574
49.54	3.574
49.54	3.575
49.54	3.576
49.54	3.575
49.53	3.575
49.54	3.575
49.54	3.574
49.54	3.574
49.54	3.574
49.53	3.573
49.53	3.573
49.53	3.574
49.53	3.574
49.53	3.574
49.53	3.574
49.53	3.574
49.53	3.574
49.53	3.574
49.53	3.574
49.53	3.573
49.53	3.573
49.53	3.573
49.53	3.573
49.53	3.573
49.53	3.573
49.52	3.573
49.52	3.574
49.52	3.574
49.52	3.574
49.52	3.574
49.52	3.574
49.52	3.573
49.52	3.573
49.52	3.573
49.52	3.574
49.52	3.574
49.52	3.574
49.52	3.574
49.52	3.575
49.52	3.575
49.51	3.575
49.51	3.575
49.52	3.575
49.51	3.575
49.51	3.575
49.51	3.575
49.51	3.575
49.51	3.575
49.51	3.575
49.51	3.575
49.51	3.575
49.51	3.575
49.51	3.575
49.51	3.575
49.51	3.575
49.51	3.576
49.51	3.576
49.51	3.576
49.51	3.575
49.51	3.575
49.5	3.575
49.5	3.575
49.5	3.575
49.5	3.575
49.5	3.575
49.5	3.575
49.5	3.575
49.5	3.576
49.5	3.576
49.5	3.576
49.5	3.575
49.5	3.575
49.49	3.575
49.49	3.574
49.49	3.574
49.49	3.574
49.49	3.574
49.49	3.574
49.49	3.574
49.49	3.574
49.49	3.574
49.49	3.574
49.49	3.574
49.49	3.574
49.49	3.574
49.49	3.574
49.49	3.574
49.49	3.575
49.49	3.575
49.49	3.575
49.48	3.575
49.48	3.575
49.48	3.575
49.48	3.575
49.48	3.575
49.48	3.575
49.48	3.575
49.48	3.575
49.48	3.575
49.48	3.576
49.48	3.575
49.48	3.575
49.48	3.575
49.48	3.575
49.47	3.575
49.48	3.574
49.48	3.575
49.47	3.575
49.47	3.575
49.47	3.575
49.47	3.575
49.47	3.575
49.47	3.575
49.47	3.575
49.47	3.575
49.47	3.575
49.47	3.575
49.47	3.575
49.47	3.575
49.47	3.575
49.47	3.575
49.46	3.575
49.46	3.575
49.46	3.575
49.46	3.575
49.46	3.575
49.46	3.575
49.46	3.574
49.46	3.574
49.46	3.574
49.46	3.574
49.46	3.575
49.46	3.575
49.46	3.575
49.46	3.575
49.45	3.575
49.46	3.574
49.46	3.574
49.46	3.574
49.46	3.575
49.46	3.575
49.45	3.575
49.45	3.576
49.45	3.575
49.45	3.575
49.45	3.575
49.45	3.576
49.45	3.576
49.45	3.576
49.45	3.576
49.45	3.576
49.45	3.576
49.45	3.575
49.44	3.575
49.44	3.574
49.44	3.575
49.44	3.575
49.44	3.575
49.44	3.575
49.44	3.575
49.44	3.576
49.44	3.576
49.44	3.576
49.44	3.575
49.43	3.575
49.43	3.575
49.43	3.575
49.43	3.575
49.43	3.575
49.43	3.576
49.43	3.575
49.43	3.575
49.43	3.575
49.43	3.576
49.43	3.575
49.43	3.575
49.43	3.575
49.43	3.574
49.43	3.574
49.43	3.574
49.42	3.574
49.42	3.574
49.42	3.574
49.42	3.574
49.42	3.574
49.42	3.575
49.42	3.574
49.42	3.575
49.42	3.575
49.42	3.574
49.42	3.574
49.42	3.574
49.41	3.574
49.41	3.574
49.41	3.575
49.41	3.575
49.41	3.575
49.41	3.575
49.41	3.575
49.41	3.575
49.41	3.575
49.41	3.575
49.41	3.575
49.41	3.575
49.41	3.575
49.4	3.575
49.41	3.575
49.4	3.575
49.4	3.575
49.4	3.575
49.4	3.575
49.4	3.575
49.4	3.575
49.4	3.575
49.4	3.574
49.4	3.574
49.4	3.574
49.4	3.574
49.4	3.574
49.39	3.574
49.39	3.574
49.39	3.574
49.39	3.574
49.39	3.574
49.39	3.574
49.39	3.574
49.39	3.574
49.39	3.574
49.39	3.574
49.39	3.574
49.39	3.574
49.39	3.574
49.39	3.574
49.38	3.574
49.39	3.574
49.38	3.574
49.38	3.575
49.38	3.575
49.38	3.574
49.38	3.575
49.38	3.575
49.38	3.575
49.38	3.574
49.38	3.574
49.37	3.574
49.37	3.574
49.37	3.575
49.37	3.575
49.37	3.574
49.37	3.574
49.37	3.574
