Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
50.13	3.679
50.13	3.679
50.13	3.679
50.13	3.678
50.13	3.678
50.13	3.678
50.13	3.678
50.13	3.678
50.13	3.678
50.13	3.678
50.12	3.678
50.13	3.679
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.678
50.12	3.676
50.12	3.676
50.12	3.676
50.12	3.676
50.12	3.676
50.12	3.676
50.11	3.676
50.11	3.676
50.11	3.676
50.11	3.676
50.11	3.676
50.12	3.676
50.11	3.676
50.11	3.676
50.12	3.676
50.12	3.676
50.12	3.676
50.11	3.676
50.11	3.676
50.11	3.676
50.11	3.676
50.11	3.675
50.11	3.675
50.11	3.676
50.11	3.676
50.11	3.675
50.11	3.675
50.11	3.676
50.1	3.675
50.11	3.675
50.11	3.675
50.1	3.676
50.1	3.676
50.1	3.675
50.1	3.675
50.1	3.675
50.1	3.675
50.1	3.675
50.1	3.675
50.1	3.676
50.1	3.676
50.1	3.676
50.1	3.676
50.1	3.675
50.1	3.675
50.1	3.675
50.1	3.675
50.09	3.675
50.09	3.675
50.09	3.675
50.09	3.675
50.09	3.675
50.09	3.675
50.09	3.674
50.09	3.674
50.09	3.674
50.09	3.674
50.09	3.674
50.09	3.674
50.09	3.674
50.08	3.675
50.09	3.675
50.08	3.675
50.08	3.675
50.08	3.676
50.08	3.676
50.08	3.676
50.08	3.676
50.08	3.676
50.08	3.675
50.08	3.675
50.08	3.675
50.08	3.675
50.08	3.674
50.07	3.674
50.08	3.674
50.08	3.674
50.07	3.674
50.07	3.674
50.07	3.674
50.07	3.673
50.07	3.674
50.07	3.674
50.07	3.675
50.07	3.675
50.07	3.675
50.07	3.675
50.07	3.674
50.07	3.674
50.06	3.674
50.06	3.674
50.06	3.674
50.06	3.674
50.06	3.674
50.06	3.674
50.06	3.674
50.06	3.675
50.06	3.674
50.06	3.674
